features,FC,log2(FC),p.ajusted,-log10(p)
1.193_132.11316,0.81049,-0.30314,0.94376,0.025139
9.007_595.35003,0.88331,-0.179,0.94376,0.025139
7.239_183.06631,1.1189,0.16204,0.9442,0.024935
17.562_781.1889,0.53407,-0.9049,0.94707,0.023616
13.319_233.15474,1.0662,0.092543,0.94707,0.023616
2.013_131.03502,1.0424,0.059958,0.94707,0.023616
10.981_233.12976,0.59689,-0.74446,0.95606,0.019515
1.204_119.03503,1.1303,0.17672,0.95606,0.019515
14.283_302.30548,0.94767,-0.077537,0.95851,0.018404
1.315_133.05068,0.79186,-0.33669,0.96281,0.016461
9.632_297.11332,0.83377,-0.26227,0.96281,0.016461
1.134_154.09752,1.5126,0.59703,0.98023,0.0086715
1.199_122.0248,1.2507,0.32272,0.98023,0.0086715
9.806_490.35327,0.84596,-0.24134,0.98023,0.0086715
10.641_400.35768,1.0784,0.10893,0.98023,0.0086715
1.168_111.02005,0.37465,-1.4164,0.98359,0.0071847
0.972_104.0705,1.0834,0.1155,0.98359,0.0071847
1.185_146.09243,0.79823,-0.32512,0.98428,0.0068821
2.469_283.09665,1.0669,0.093404,0.98428,0.0068821
1.291_243.06234,0.97961,-0.029723,0.98428,0.0068821
1.231_202.07271,0.98402,-0.023237,0.98428,0.0068821
0.979_146.11761,1.4898,0.57508,0.98861,0.004974
1.195_174.04089,1.449,0.53508,0.98861,0.004974
15.545_271.22796,0.81377,-0.2973,0.98861,0.004974
10.345_451.27054,0.72203,-0.46988,0.99062,0.0040942
1.196_173.09204,0.80445,-0.31393,0.99062,0.0040942
