# Constructed from biom file
#OTU ID	Sub002.0h	Sub003.0h	Sub004.0h	Sub005.0h	Sub007.0h	Sub008.0h	Sub001.0h	Sub0010.0h	Sub006.0h	Sub011.0h
12238f9630c9948d7725227082f81139	0.0	0.0	428.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128696fec65599e4b8dcefa3d81b156f	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	31.0
1399b4cc4821ce2576f470302d0e6176	25.0	0.0	0.0	17.0	0.0	48.0	0.0	0.0	0.0	0.0
14cef5ce1cc26220f40bcd6adefe3367	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16e30e0be625f6adfcc7626984d8fa70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0
16e578e743fe10d9328155d94bee8ad3	105.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17d9289a3f7f2e27225c67bd6c92e941	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
19157cee9878c4c657d23f08335249a1	0.0	0.0	24.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
1a2237a36f37e9dc6b1d6adaf82ba995	0.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0
1a73c5ba6342cf417c4c6de9dbfb71b8	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
1b2eff75b5ddbbfb5d6ae504c864ae34	769.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b4ee31d7fe2aab11c55dca8ce504b0a	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
1c24ecb8c3468ce68777f7c44e13d60d	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
1c3b3d6b5540ae4459f826420b48da10	276.0	0.0	135.0	61.0	233.0	707.0	49.0	0.0	49.0	48.0
1c48fd6345ffc08558b71db4b7e33311	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
1d7a38a1790a431b0cd5822b38e00cb5	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0
1d9d643c1c87f07c17dd6a27ef5d9a02	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
20402bc2173a5ee326f4d0d4efc4d6e0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0
209b367315ae7b18538fed4ce8edc2ae	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0
20cf13f228f8d16b499e9493dd2ee208	88.0	0.0	0.0	0.0	285.0	130.0	465.0	0.0	0.0	0.0
2176d71c5fa6793a0b45815a7a90a7c3	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
220117d1b2b713d4dab1deadc76f6804	0.0	268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
22a17749bbb110aef9e907aa03b4b7c8	468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2358df28ab58699505715869111dddbd	2180.0	0.0	0.0	292.0	209.0	0.0	128.0	0.0	263.0	0.0
24bdbf1a7778b804aadd472704d1cbbd	80.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
24e465c6574f8b20dddf30461c315d39	590.0	0.0	822.0	0.0	1407.0	0.0	27.0	0.0	0.0	74.0
2564b9fa71a649701adda833968fce96	0.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0
2639f0605ad0fa6c93e982f6b54b465d	0.0	23.0	16.0	0.0	0.0	7.0	0.0	0.0	22.0	0.0
26526d91309dceaf6cd1e8ea4739d0b4	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26810017388f10a256232c78c0fda4d0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26bc9249712e574776fdfbc535e14587	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
26d5c4614643a0b9609257f324bbcaae	70.0	0.0	151.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0
2a72ee92d5dc40ba99fba0c508f22923	131.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
2d3f536ce7257608ddf6f44a800c218b	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
2d91affd5439832ac047feb97683de37	0.0	17.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0
